name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,used
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3090 GAMING X TRIO 24G),MSI,RTX 3090 GAMING X TRIO 24G,24 GB,GDRR6X,335 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1785 MHz,G-Sync,"$1,289.99",0
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA,RTX 3090 FTW3 Ultra,24 GB,GDDR6X,300 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1800 MHz,G-Sync,"$1,199.99",0
"ASUS ROG Strix NVIDIA GeForce RTX 3090 White OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a",ASUS,ROG Strix RTX 3090 OC Edition,24 GB,GDDR6X,318.5 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1890 MHz,G-Sync,"$1,794.99",0
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP 1875 MHz Ampere Architecture OC Graphics Card (RTX 3090 Suprim X 24G),MSI,RTX 3090 SUPRIM X 24G,24 GB,GDDR6X,336 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1875 MHz,G-Sync,"$2,017.21",0
"GIGABYTE AORUS GeForce RTX 3090 Xtreme 24G Graphics Card, Max Covered Cooling, 24GB 384-bit GDDR6X Video Card",Gigabyte,AORUS RTX 3090 Xtreme 24G,24 GB,GDDR6X,319 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1860 MHz,G-Sync,"$3,399.99",0
"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS,TUF Gaming RTX 3090 OC Edition,24 GB,GDDR6X,299.9 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1770 MHz,G-Sync,"$1,249",0
"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X",Gigabyte,AORUS RTX 3090 Xtreme Waterforce 24G,24 GB,GDDR6X,252 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1785 MHz,G-Sync,"$6,800",0
"EVGA 24G-P5-3975-KR GeForce RTX 3090 XC3 Ultra Gaming, 24GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",EVGA,RTX 3090 XC3 Ultra,24 GB,GDDR6X,285 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1725 MHz,G-Sync,"$1,299",0
"Gigabyte GeForce RTX 3090 GAMING OC 24G Graphics Card, 3x WINDFORCE Fans, 24GB 384-Bit GDDR6X, GV-N3090GAMING OC-24GD Video Card",Gigabyte,RTX 3090 Gaming OC 24G,24 GB,GDDR6X,320 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1755 MHz,G-Sync,"$1,299",0
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3090 VENTUS 3X 24G OC),MSI,RTX 3090 VENTUS 3X 24G OC,24 GB,GDDR6X,305 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1725 MHz,G-Sync,"$1,269.90",0
"ZOTAC Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling",ZOTAC,RTX 3090 Trinity OC 24GB,24 GB,GDDR6X,317.8 mm,PCIe x16,GeForce RTX 3090,1395 MHz,1710 MHz,G-Sync,"$1,215",0
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),MSI,RTX 3080 Ti Gaming X Trio 12G,12 GB,GDDR6X,324 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1770 MHz,G-Sync,$959.99,0
"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA,RTX 3080 Ti FTW3 Ultra,12 GB,GDDR6X,300 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1800 MHz,G-Sync,"$1,084.50",0
EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12G-P5-3955-KR 12GB GDDR6X Graphics Card,EVGA,RTX 3080 Ti XC3 ULTRA,12 GB,GDDR6X,300 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1725 MHz,G-Sync,$999,0
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3080 Ti Ventus 3X 12G OC),MSI,RTX 3080 Ti Ventus 3X 12G OC,12 GB,GDDR6X,305 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1695 MHz,G-Sync,$929.99,0
Gigabyte GeForce RTX 3080 Ti VISION OC 12GB Graphics Card,Gigabyte,RTX 3080 Ti VISION OC 12GB,12 GB,GDDR6X,320 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1770 MHz,G-Sync,"$1,202.99",0
"GIGABYTE AORUS GeForce RTX 3080 Ti Xtreme 10G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X Video Card",Gigabyte,AORUS RTX 3080 Ti Xtreme 10G,12 GB,GDDR6X,320 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1770 MHz,G-Sync,"$1,699.99",0
ZOTAC GAMING GEFORCE RTX 3080 Ti Trinity OC 12GB,ZOTACGAMING,RTX 3080 Ti Trinity OC 12GB,12 GB,GDDR6X,317.8 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1695 MHz,G-Sync,"$1,049.99",0
"INNO3D GeForce RTX 3080 Ti iChill X4 LHR, 12288 MB GDDR6X",Inno3D,RTX 3080 Ti iChill X4,12 GB,GDDR6X,300 mm,PCIe x16,GeForce RTX 3080 Ti,1365 MHz,1710 MHz,G-Sync,"$1,705",0
XFX Speedster MERC319 Radeon RX 6800XT Black 16GB GDDR6 HDMI DisplayPort USB-C PCIe 4.0 Gaming Graphics Card,XFX,Speedster MERC319 RX-68XTACBD9,16 GB,GDDR6,340 mm,PCIe x16,Radeon RX 6800 XT,1925 MHz,2360 MHz,FreeSync,"$1,698.99",0
Sapphire Radeon RX 6800 XT Pulse OC 16G Graphics Card,SAPPHIRE,RX 6800 XT Pulse OC,16 GB,GDDR6,313 mm,PCIe x16,Radeon RX 6800 XT,1825 MHz,2310 MHz,FreeSync,$699.99,0
